Country,Date,Cases,Deaths,Tests,Cases/Population,Deaths/Cases,Tests/Cases
United States,2020-01-22,1.0,0.0,0.0,3.0469226081657525e-09,0.0,0.0
United States,2020-01-23,1.0,0.0,0.0,3.0469226081657525e-09,0.0,0.0
United States,2020-01-24,2.0,0.0,0.0,6.093845216331505e-09,0.0,0.0
United States,2020-01-25,2.0,0.0,0.0,6.093845216331505e-09,0.0,0.0
United States,2020-01-26,5.0,0.0,0.0,1.5234613040828764e-08,0.0,0.0
United States,2020-01-27,5.0,0.0,0.0,1.5234613040828764e-08,0.0,0.0
United States,2020-01-28,5.0,0.0,0.0,1.5234613040828764e-08,0.0,0.0
United States,2020-01-29,6.0,0.0,0.0,1.8281535648994515e-08,0.0,0.0
United States,2020-01-30,6.0,0.0,0.0,1.8281535648994515e-08,0.0,0.0
United States,2020-01-31,8.0,0.0,0.0,2.437538086532602e-08,0.0,0.0
United States,2020-02-01,8.0,0.0,0.0,2.437538086532602e-08,0.0,0.0
United States,2020-02-02,8.0,0.0,0.0,2.437538086532602e-08,0.0,0.0
United States,2020-02-03,11.0,0.0,0.0,3.3516148689823276e-08,0.0,0.0
United States,2020-02-04,11.0,0.0,0.0,3.3516148689823276e-08,0.0,0.0
United States,2020-02-05,11.0,0.0,0.0,3.3516148689823276e-08,0.0,0.0
United States,2020-02-06,12.0,0.0,0.0,3.656307129798903e-08,0.0,0.0
United States,2020-02-07,12.0,0.0,0.0,3.656307129798903e-08,0.0,0.0
United States,2020-02-08,12.0,0.0,0.0,3.656307129798903e-08,0.0,0.0
United States,2020-02-09,12.0,0.0,0.0,3.656307129798903e-08,0.0,0.0
United States,2020-02-10,12.0,0.0,0.0,3.656307129798903e-08,0.0,0.0
United States,2020-02-11,13.0,0.0,0.0,3.9609993906154785e-08,0.0,0.0
United States,2020-02-12,13.0,0.0,0.0,3.9609993906154785e-08,0.0,0.0
United States,2020-02-13,14.0,0.0,0.0,4.265691651432054e-08,0.0,0.0
United States,2020-02-14,14.0,0.0,0.0,4.265691651432054e-08,0.0,0.0
United States,2020-02-15,14.0,0.0,0.0,4.265691651432054e-08,0.0,0.0
United States,2020-02-16,14.0,0.0,0.0,4.265691651432054e-08,0.0,0.0
United States,2020-02-17,14.0,0.0,0.0,4.265691651432054e-08,0.0,0.0
United States,2020-02-18,14.0,0.0,0.0,4.265691651432054e-08,0.0,0.0
United States,2020-02-19,14.0,0.0,0.0,4.265691651432054e-08,0.0,0.0
United States,2020-02-20,14.0,0.0,0.0,4.265691651432054e-08,0.0,0.0
United States,2020-02-21,16.0,0.0,0.0,4.875076173065204e-08,0.0,0.0
United States,2020-02-22,16.0,0.0,0.0,4.875076173065204e-08,0.0,0.0
United States,2020-02-23,16.0,0.0,0.0,4.875076173065204e-08,0.0,0.0
United States,2020-02-24,16.0,0.0,0.0,4.875076173065204e-08,0.0,0.0
United States,2020-02-29,25.0,1.0,0.0,7.617306520414381e-08,0.04,0.0
United States,2020-03-01,32.0,1.0,348.0,9.750152346130408e-08,0.03125,10.875
United States,2020-03-02,55.0,6.0,861.0,1.675807434491164e-07,0.10909090909090909,15.654545454545454
United States,2020-03-03,74.0,7.0,1480.0,2.254722730042657e-07,0.0945945945945946,20.0
United States,2020-03-04,107.0,11.0,2370.0,3.260207190737355e-07,0.102803738317757,22.149532710280372
United States,2020-03-05,184.0,12.0,3587.0,5.606337599024985e-07,0.06521739130434782,19.494565217391305
United States,2020-03-06,237.0,14.0,5129.0,7.221206581352834e-07,0.05907172995780591,21.641350210970465
United States,2020-03-07,403.0,17.0,6928.0,1.2279098110907984e-06,0.04218362282878412,17.19106699751861
United States,2020-03-08,519.0,21.0,8566.0,1.5813528336380256e-06,0.04046242774566474,16.504816955684007
United States,2020-03-09,594.0,22.0,11005.0,1.809872029250457e-06,0.037037037037037035,18.526936026936028
United States,2020-03-10,782.0,28.0,14482.0,2.3826934795856185e-06,0.03580562659846547,18.51918158567775
United States,2020-03-11,1147.0,33.0,19333.0,3.494820231566118e-06,0.02877070619006103,16.855274629468177
United States,2020-03-12,1586.0,43.0,28295.0,4.832419256550883e-06,0.02711223203026482,17.840479192938208
United States,2020-03-13,2219.0,51.0,40157.0,6.761121267519805e-06,0.02298332582244254,18.096890491212257
United States,2020-03-14,2978.0,58.0,53150.0,9.07373552711761e-06,0.019476158495634655,17.847548690396238
United States,2020-03-15,3212.0,70.0,67578.0,9.786715417428397e-06,0.021793275217932753,21.03922789539228
United States,2020-03-16,4679.0,97.0,95122.0,1.4256550883607557e-05,0.020730925411412696,20.329557597777303
United States,2020-03-17,6512.0,134.0,135316.0,1.984156002437538e-05,0.020577395577395578,20.779484029484028
United States,2020-03-18,9169.0,194.0,186175.0,2.7937233394271785e-05,0.021158250627113098,20.304831497437014
United States,2020-03-19,13663.0,266.0,246924.0,4.163010359536868e-05,0.019468637927248775,18.072458464466077
United States,2020-03-20,20030.0,372.0,323315.0,6.102985984156002e-05,0.018572141787319023,16.14153769345981
United States,2020-03-21,26025.0,475.0,399771.0,7.929616087751371e-05,0.01825168107588857,15.361037463976945
